Code_commune_INSEE,Nom_commune,Code_postal,Ligne_5,Libellé_d_acheminement,coordonnees_gps,Departement
35052,CHAMPEAUX,35500,"",CHAMPEAUX,"48.1387131553,-1.30145243997",35
35194,MONTREUIL SOUS PEROUSE,35500,"",MONTREUIL SOUS PEROUSE,"48.1510951344,-1.24238323574",35
35252,ST AUBIN DES LANDES,35500,"",ST AUBIN DES LANDES,"48.1003176943,-1.29173658407",35
35330,TAILLIS,35500,"",TAILLIS,"48.1846341773,-1.24010156402",35
35051,CESSON SEVIGNE,35510,"",CESSON SEVIGNE,"48.1202268032,-1.59714447272",35
35193,MONTREUIL LE GAST,35520,"",MONTREUIL LE GAST,"48.2442583442,-1.72080742537",35
35173,MELESSE,35520,"",MELESSE,"48.2193069814,-1.68950220558",35
35059,LA CHAPELLE DES FOUGERETZ,35520,"",LA CHAPELLE DES FOUGERETZ,"48.1768937301,-1.74067185823",35
35177,LA MEZIERE,35520,"",LA MEZIERE,"48.2130666672,-1.75057215298",35
35327,SERVON SUR VILAINE,35530,"",SERVON SUR VILAINE,"48.120843256,-1.45777238842",35
35207,NOYAL SUR VILAINE,35530,"",NOYAL SUR VILAINE,"48.0914044616,-1.50548866524",35
35039,BRECE,35530,"",BRECE,"48.1107701278,-1.48991638652",35
35224,PLERGUER,35540,"",PLERGUER,"48.5284745342,-1.84558109365",35
35179,MINIAC MORVAN,35540,"",MINIAC MORVAN,"48.5246933441,-1.89543357334",35
35179,MINIAC MORVAN,35540,VIEUX BOURG,MINIAC MORVAN,"48.5246933441,-1.89543357334",35
35362,LE TRONCHET,35540,"",LE TRONCHET,"48.4926615398,-1.84121493446",35
35285,ST JUST,35550,"",ST JUST,"47.7645343074,-1.96896648754",35
35151,LIEURON,35550,"",LIEURON,"47.851789688,-1.92917231951",35
35155,LOHEAC,35550,"",LOHEAC,"47.8732108316,-1.888495597",35
35045,BRUC SUR AFF,35550,"",BRUC SUR AFF,"47.8141653768,-2.00570754872",35
35219,PIPRIAC,35550,"",PIPRIAC,"47.8116756729,-1.93781141913",35
35268,ST GANTON,35550,"",ST GANTON,"47.769209131,-1.89133276373",35
35328,SIXT SUR AFF,35550,"",SIXT SUR AFF,"47.7748715245,-2.04938893664",35
35164,MARCILLE RAOUL,35560,"",MARCILLE RAOUL,"48.3743980511,-1.6139420088",35
35309,ST REMY DU PLAIN,35560,"",ST REMY DU PLAIN,"48.3758019019,-1.56690944074",35
35242,RIMOU,35560,"",RIMOU,"48.3879829755,-1.52823061249",35
35004,VAL COUESNON,35560,ANTRAIN,VAL COUESNON,"48.4623399244,-1.47875897631",35
35004,VAL COUESNON,35560,LA FONTENELLE,VAL COUESNON,"48.4623399244,-1.47875897631",35
35205,NOYAL SOUS BAZOUGES,35560,"",NOYAL SOUS BAZOUGES,"48.4173130249,-1.62400476475",35
